Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2025-03-14,213.49000549316406,388.55999755859375,249.97999572753906,213.9499969482422,390.2300109863281,251.5800018310547,209.5800018310547,379.510009765625,240.72999572753906,211.25,379.7799987792969,247.30999755859375,60107600,19952800,100242300
2025-03-17,214.0,388.70001220703125,238.00999450683594,215.22000122070312,392.7099914550781,245.39999389648438,209.97000122070312,385.57000732421875,232.8000030517578,213.30999755859375,386.70001220703125,245.05999755859375,48073400,22474300,111900600
2025-03-18,212.69000244140625,383.5199890136719,225.30999755859375,215.14999389648438,387.3699951171875,230.10000610351562,211.49000549316406,381.1000061035156,222.27999877929688,214.16000366210938,387.07000732421875,228.16000366210938,42432400,19486900,111477600
2025-03-19,215.24000549316406,387.82000732421875,235.86000061035156,218.75999450683594,389.67999267578125,241.41000366210938,213.75,384.0,229.1999969482422,214.22000122070312,385.5299987792969,231.61000061035156,54385400,19185500,111993800
2025-03-20,214.10000610351562,386.8399963378906,236.25999450683594,217.49000549316406,391.7900085449219,238.0,212.22000122070312,383.2799987792969,230.0500030517578,213.99000549316406,385.739990234375,233.35000610351562,48862900,18470500,99028300
2025-03-21,218.27000427246094,391.260009765625,248.7100067138672,218.83999633789062,391.739990234375,249.52000427246094,211.27999877929688,382.79998779296875,234.5500030517578,211.55999755859375,383.2200012207031,234.99000549316406,94127800,39675900,132728700
2025-03-24,220.72999572753906,393.0799865722656,278.3900146484375,221.47999572753906,395.3999938964844,278.6400146484375,218.5800018310547,389.80999755859375,256.3299865722656,221.0,395.3999938964844,258.0799865722656,44299500,21004500,169079900
2025-03-25,223.75,395.1600036621094,288.1400146484375,224.10000610351562,396.3599853515625,288.20001220703125,220.0800018310547,392.6400146484375,271.2799987792969,220.77000427246094,393.9200134277344,283.6000061035156,34493600,15775000,150361500
2025-03-26,221.52999877929688,389.9700012207031,272.05999755859375,225.02000427246094,395.30999755859375,284.8999938964844,220.47000122070312,388.57000732421875,266.510009765625,223.50999450683594,395.0,282.6600036621094,34466100,16108400,153629800
2025-03-27,223.85000610351562,390.5799865722656,273.1300048828125,224.99000549316406,392.239990234375,291.8500061035156,220.55999755859375,387.3999938964844,271.82000732421875,221.38999938964844,390.1300048828125,272.4800109863281,37094800,13766800,162572100
2025-03-28,217.89999389648438,378.79998779296875,263.54998779296875,223.80999755859375,389.1300048828125,276.1000061035156,217.67999267578125,376.92999267578125,260.57000732421875,221.6699981689453,388.0799865722656,275.5799865722656,39818600,21632000,123809400
2025-03-31,222.1300048828125,375.3900146484375,259.1600036621094,225.6199951171875,377.07000732421875,260.55999755859375,216.22999572753906,367.239990234375,243.36000061035156,217.00999450683594,372.5400085449219,249.30999755859375,65299300,35184700,134008900
